id,Attributes,Name,Slug,Quantity-50,Quantity-100,Quantity-250,Quantity-500,Quantity-1000,Quantity-2500,Quantity5000,"ocm-tlc-1 GB-50","ocm-tlc-1 GB-100","ocm-tlc-1 GB-250","ocm-tlc-1 GB-500","ocm-tlc-1 GB-1000","ocm-tlc-1 GB-2500","ocm-tlc-1 GB-5000","ocm-mlc-1 GB-50","ocm-mlc-1 GB-100","ocm-mlc-1 GB-250","ocm-mlc-1 GB-500","ocm-mlc-1 GB-1000","ocm-mlc-1 GB-2500","ocm-mlc-1 GB-5000","original-1 GB-50","original-1 GB-100","original-1 GB-250","original-1 GB-500","original-1 GB-1000","original-1 GB-2500","original-1 GB-5000"
8,print-position-2,"2 färger (265-11M)",265-11m-sv,,4,3,2.5,2.5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,print-position-2,"2 färger (266-12L)",266-12l-sv,,6.5,5,4,4,3.5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,print-position-2,"3 färger (196)",196-sv,,4.50,3.75,3.45,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,print-position-2,"3 färger (264-10-3S)",264-10-3s-sv,,6,"4,50",4,"3,50","3,50","3,50",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,print-position-2,"3 färger (265-11-3M)",265-11-3m-sv,,7,5,4.50,4,3.50,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,print-position-2,"3 färger (266-12-3L)",266-12-3l-sv,,11.50,7.50,6.50,6,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,print-position-2,"4 färger (197)",197-sv,,6,5,4.50,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,print-position-2,"4 färger (264-10-4S)",264-10-4s-sv,,9,6,"5,50",5,"4,50","4,50",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,print-position-2,"4 färger (265-11-4M)",265-11-4m-sv,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,print-position-2,"4 färger (266-12-4L)",266-12-4l-sv,,16,10.50,9,8,7,6.50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,print-position-2,"Embossing extra position",202-2-2,7,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,print-position-2,"Etikett (206-6a)",206-6a-sv,,14.50,6.50,4.50,3,2.50,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,print-position-2,"Etikett (262-6)",262-6-sv,,14.50,6.50,4.50,3,2.50,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,print-position-2,"Fullfärg (199)",199-sv,5,4,3.50,3.25,3.50,3.50,3.50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,print-position-2,"Fullfärg (267-13-2S)",267-13-2s-sv,,7,6,5.45,4,3.50,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,print-position-2,"Fullfärg (267-13S)",267-13s-sv,,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,print-position-2,"Fullfärg (268-14-2M)",268-14-2m-sv,,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,print-position-2,"Fullfärg (268-14M)",268-14m-sv,,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,print-position-2,"Fullfärg (269-15-2L)",269-15-2l-sv,,11.50,11.50,11.50,11.50,11.50,11.50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,print-position-2,"Fullfärg (269-15L)",269-15l-sv,,11.50,11.50,11.50,11.50,11.50,11.50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,print-position-2,"Fullfärg (350)",350-sv,,8,6,4,3,2.50,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,print-position-2,"Fullfärg inkluderat (731)",731-sv,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,print-position-2,"Fullfärg RFID Sida 2 ( 733)",733-sv,,5,5,5,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,print-position-2,"Fullfärg sida 2 RFID (1)",1-sv,,8.50,6,5.50,0.50,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,print-position-2,"Fullfärg Special (732)",732-sv,,4,4,4,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,print-position-2,"Gravyr (261-2b-2)",engraving-261-2b-2-2,,2.5,1.5,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,print-position-3,"1 färgstryck på hatten",1-f-hatt,,4,1.60,0.80,0.50,0.50,0.50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,print-position-3,"2 Färg på hatten",2-f-hatt,,5.60,2.25,1.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,print-position-3,"Fullfärg på hatten",fc-cap,,11,4.60,2.30,1.50,1.25,1.10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,sizes,330x240mm,330x240mm-3,,,6,6,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,sizes,330x240mm,330x240mm-2,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,sizes,400x280mm,400x280mm-2,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,sizes,400x280mm,400x280mm-3,,,32,19,15,12,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,sizes,420x297mm,420x297mm-2,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,sizes,420x297mm,420x297mm-3,,,35,22,18,15,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,sizes,210x297mm,210x297mm-2,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,test,Test1,test1-sv,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
